/Users/live/Documents/GITHUB_PROJECTS/platform_server/.worktrees/ws-0280-main-merge/scripts/remote_exec.sh pre-push-gate --local-fallback
Validation lane selection
  mode: primary_branch
  branch: HEAD
  selected lanes: documentation-and-adr, repository-structure-and-schema, generated-artifact-and-canonical-truth, service-syntax-and-unit, remote-builder, live-apply-and-promotion
  blocking checks: workstream-surfaces, agent-standards, documentation-index, yaml-lint, schema-validation, policy-validation, alert-rule-validation, dependency-direction, generated-docs, generated-portals, dependency-graph, artifact-secret-scan, ansible-syntax, ansible-lint, type-check, service-completeness, packer-validate, tofu-validate, security-scan, integration-tests
  changed files: Makefile, README.md, RELEASE.md, VERSION, build/platform-manifest.json, changelog.md, ...

CHECK                STATUS DURATION(s)
agent-standards       passed 1.01
alert-rule-validation passed 1.42
ansible-lint          passed 150.63
ansible-syntax        passed 89.24
artifact-secret-scan  passed 2.57
dependency-direction  passed 1.56
dependency-graph      passed 2.62
documentation-index   passed 1.25
generated-docs        passed 6.97
generated-portals     passed 26.14
integration-tests     passed 1.86
packer-validate       passed 4.86
policy-validation     passed 2.02
schema-validation     passed 12.65
security-scan         passed 10.46
service-completeness  passed 0.80
tofu-validate         passed 0.92
type-check            passed 3.76
workstream-surfaces   passed 2.75
yaml-lint             passed 12.42
