/Users/live/Documents/GITHUB_PROJECTS/proxmox_florin_server/.worktrees/ws-0288-main-candidate/scripts/remote_exec.sh pre-push-gate --local-fallback
Validation lane selection
  mode: primary_branch
  branch: HEAD
  selected lanes: documentation-and-adr, repository-structure-and-schema, generated-artifact-and-canonical-truth, service-syntax-and-unit, remote-builder, live-apply-and-promotion
  blocking checks: workstream-surfaces, agent-standards, documentation-index, yaml-lint, schema-validation, policy-validation, alert-rule-validation, dependency-direction, generated-docs, generated-portals, dependency-graph, artifact-secret-scan, ansible-syntax, ansible-lint, type-check, service-completeness, packer-validate, tofu-validate, security-scan, semgrep-sast, integration-tests

CHECK                STATUS DURATION(s)
agent-standards       passed 1.95
alert-rule-validation passed 2.56
ansible-lint          passed 207.18
ansible-syntax        passed 124.10
artifact-secret-scan  passed 2.68
dependency-direction  passed 2.27
dependency-graph      passed 2.84
documentation-index   passed 2.12
generated-docs        passed 8.22
generated-portals     passed 28.25
integration-tests     passed 1.71
packer-validate       passed 5.92
policy-validation     passed 2.45
schema-validation     passed 15.13
security-scan         passed 12.39
semgrep-sast          passed 56.09
service-completeness  passed 1.65
tofu-validate         passed 2.38
type-check            passed 4.08
workstream-surfaces   passed 4.36
yaml-lint             passed 14.69
