/Users/live/Documents/GITHUB_PROJECTS/platform_server/.worktrees/ws-0297-live-apply/scripts/remote_exec.sh remote-pre-push --local-fallback
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Validation lane selection
  mode: primary_branch
  branch: HEAD
  selected lanes: documentation-and-adr, repository-structure-and-schema, generated-artifact-and-canonical-truth, service-syntax-and-unit, remote-builder, live-apply-and-promotion
  blocking checks: workstream-surfaces, agent-standards, documentation-index, yaml-lint, schema-validation, policy-validation, alert-rule-validation, dependency-direction, generated-docs, generated-portals, dependency-graph, artifact-secret-scan, ansible-syntax, ansible-lint, type-check, service-completeness, packer-validate, tofu-validate, security-scan, semgrep-sast, integration-tests
  changed files: .ansible-lint-ignore, .gitea/workflows/release-bundle.yml, .gitea/workflows/renovate.yml, .gitea/workflows/validate.yml, README.md, build/platform-manifest.json, ...

CHECK                STATUS DURATION(s)
agent-standards       passed 1.20
alert-rule-validation passed 2.61
ansible-lint          passed 174.47
ansible-syntax        passed 106.42
artifact-secret-scan  passed 2.54
dependency-direction  passed 2.81
dependency-graph      passed 3.34
documentation-index   passed 1.68
generated-docs        passed 9.85
generated-portals     passed 29.85
integration-tests     passed 2.71
packer-validate       passed 6.32
policy-validation     passed 1.53
schema-validation     passed 16.01
security-scan         passed 14.76
semgrep-sast          passed 53.40
service-completeness  passed 1.73
tofu-validate         passed 1.18
type-check            passed 4.55
workstream-surfaces   passed 5.07
yaml-lint             passed 15.83
