docker-runtime-lv3 | CHANGED | rc=0 >>
Images space usage:

REPOSITORY                             TAG                  IMAGE ID       CREATED         SIZE      SHARED SIZE   UNIQUE SIZE   CONTAINERS
lv3-platform-context-api               latest               82c0c8847382   3 hours ago     256MB     256.4MB       0B            1
mail-platform-mail-gateway             latest               523bb866cb7b   3 hours ago     155MB     117.6MB       36.96MB       1
lv3/tesseract-ocr                      latest               6993ce9d355d   3 hours ago     288MB     288.4MB       4.705kB       1
<none>                                 <none>               5c9e93d51d90   4 hours ago     152MB     117.6MB       34.13MB       0
lv3-platform-api-gateway               latest               21c7975a9e6f   4 hours ago     299MB     299.3MB       0B            1
lv3-ops-portal                         latest               9f3b3f9dc52d   4 hours ago     145MB     119.2MB       26.05MB       1
<none>                                 <none>               4283e1289c16   19 hours ago    152MB     117.6MB       34.13MB       0
<none>                                 <none>               5840efd3a69e   20 hours ago    258MB     257.7MB       0B            0
<none>                                 <none>               236c0e1bb58e   26 hours ago    119MB     119.2MB       121B          1
lv3/browser-runner                     latest               b322ee33642e   26 hours ago    1.58GB    1.584GB       14.1kB        1
<none>                                 <none>               daa6443bdee8   37 hours ago    36.7MB    8.442MB       28.3MB        1
<none>                                 <none>               f70dca64fec5   44 hours ago    1.85GB    78.61MB       1.775GB       1
<none>                                 <none>               3a67b3eead98   2 days ago      705MB     78.61MB       626.5MB       1
<none>                                 <none>               67676c08b3b8   3 days ago      1.45GB    78.61MB       1.37GB        2
mattermost/mattermost-team-edition     release-10.11        089732d728b7   3 days ago      710MB     0B            709.6MB       1
<none>                                 <none>               f65cc58fffcf   4 days ago      882MB     74.83MB       806.9MB       1
<none>                                 <none>               9b188598cfa1   5 days ago      2.92GB    124.3MB       2.799GB       3
<none>                                 <none>               17b217cdd2c5   5 days ago      341MB     8.442MB       332.6MB       1
<none>                                 <none>               469ccccb7ceb   5 days ago      570MB     0B            569.5MB       1
<none>                                 <none>               72be80496b6d   5 days ago      869MB     7.835MB       861MB         1
<none>                                 <none>               d0c869620ad3   5 days ago      261MB     0B            261.5MB       1
nats                                   2.11-alpine          d4916f00b11d   6 days ago      26.3MB    8.322MB       17.95MB       1
<none>                                 <none>               d83ae1aee920   6 days ago      1.01GB    162.1MB       848.9MB       1
<none>                                 <none>               4e2996981bc9   6 days ago      296MB     0B            296.5MB       0
<none>                                 <none>               205d3d5d7592   6 days ago      1.02GB    162.1MB       861.7MB       1
<none>                                 <none>               e7bcab22efa7   6 days ago      77.8MB    0B            77.78MB       1
<none>                                 <none>               c3eeb475671b   6 days ago      337MB     117.6MB       219.9MB       1
<none>                                 <none>               cf3975016bb1   7 days ago      58.1MB    0B            58.14MB       2
<none>                                 <none>               c273e605a10d   9 days ago      497MB     9.551MB       487.4MB       1
<none>                                 <none>               3d9496d1c315   9 days ago      101MB     9.551MB       91.77MB       4
ghcr.io/windmill-labs/windmill-extra   latest               c3075e9546ec   9 days ago      4.74GB    74.83MB       4.665GB       1
ghcr.io/windmill-labs/windmill         1.662.0              c3d499a449b8   10 days ago     4.2GB     74.83MB       4.127GB       3
<none>                                 <none>               5847b3d7ff82   10 days ago     796MB     0B            795.7MB       1
portainer/portainer-ce                 lts                  c687e3efcb24   10 days ago     181MB     0B            180.7MB       1
<none>                                 <none>               b35f2515fa47   11 days ago     84.7MB    0B            84.73MB       0
goharbor/redis-photon                  v2.15.0              4ed296911e8b   11 days ago     173MB     40.34MB       132.4MB       1
goharbor/trivy-adapter-photon          v2.15.0              e9d91b67c413   11 days ago     408MB     40.34MB       367.6MB       1
goharbor/harbor-registryctl            v2.15.0              4b2b3294a46c   11 days ago     166MB     40.34MB       126MB         1
