/Users/live/Documents/GITHUB_PROJECTS/platform_server/.worktrees/ws-0284-live-apply/scripts/remote_exec.sh pre-push-gate --local-fallback
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Validation lane selection
  mode: primary_branch
  branch: HEAD
  selected lanes: documentation-and-adr, repository-structure-and-schema, generated-artifact-and-canonical-truth, service-syntax-and-unit, remote-builder, live-apply-and-promotion
  blocking checks: workstream-surfaces, agent-standards, documentation-index, yaml-lint, schema-validation, policy-validation, alert-rule-validation, dependency-direction, generated-docs, generated-portals, dependency-graph, artifact-secret-scan, ansible-syntax, ansible-lint, type-check, service-completeness, packer-validate, tofu-validate, security-scan, semgrep-sast, integration-tests
  changed files: Makefile, README.md, RELEASE.md, VERSION, build/platform-manifest.json, changelog.md, ...

CHECK                STATUS DURATION(s)
agent-standards       passed 1.25
alert-rule-validation passed 2.77
ansible-lint          passed 206.86
ansible-syntax        passed 130.86
artifact-secret-scan  passed 4.05
dependency-direction  passed 3.47
dependency-graph      passed 3.04
documentation-index   passed 1.74
generated-docs        passed 9.69
generated-portals     passed 31.25
integration-tests     passed 2.04
packer-validate       passed 5.45
policy-validation     passed 1.36
schema-validation     passed 17.19
security-scan         passed 19.45
semgrep-sast          passed 61.49
service-completeness  passed 1.94
tofu-validate         passed 1.08
type-check            passed 4.30
workstream-surfaces   passed 4.01
yaml-lint             passed 16.32
