/Users/live/Documents/GITHUB_PROJECTS/platform_server/.worktrees/ws-0292-live-apply-r2/scripts/remote_exec.sh pre-push-gate --local-fallback
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Validation lane selection
  mode: primary_branch
  branch: HEAD
  selected lanes: documentation-and-adr, repository-structure-and-schema, generated-artifact-and-canonical-truth, service-syntax-and-unit, remote-builder, live-apply-and-promotion
  blocking checks: workstream-surfaces, agent-standards, documentation-index, yaml-lint, schema-validation, policy-validation, alert-rule-validation, dependency-direction, generated-docs, generated-portals, dependency-graph, artifact-secret-scan, ansible-syntax, ansible-lint, iac-policy-scan, type-check, service-completeness, packer-validate, tofu-validate, security-scan, semgrep-sast, integration-tests
  changed files: Makefile, README.md, RELEASE.md, VERSION, build/platform-manifest.json, changelog.md, ...

CHECK                STATUS DURATION(s)
agent-standards       passed 2.20
alert-rule-validation passed 3.74
ansible-lint          passed 209.41
ansible-syntax        passed 131.49
artifact-secret-scan  passed 5.47
dependency-direction  passed 3.24
dependency-graph      passed 5.10
documentation-index   passed 2.79
generated-docs        passed 8.55
generated-portals     passed 33.01
iac-policy-scan       passed 38.08
integration-tests     passed 2.43
packer-validate       passed 7.80
policy-validation     passed 2.58
schema-validation     passed 17.03
security-scan         passed 34.39
semgrep-sast          passed 62.64
service-completeness  passed 2.19
tofu-validate         passed 2.66
type-check            passed 4.93
workstream-surfaces   passed 4.30
yaml-lint             passed 18.10
