/Users/live/Documents/GITHUB_PROJECTS/proxmox_florin_server/.worktrees/ws-0315-live-apply/scripts/remote_exec.sh pre-push-gate --local-fallback
Validation lane selection
  mode: primary_branch
  branch: HEAD
  selected lanes: documentation-and-adr, repository-structure-and-schema, generated-artifact-and-canonical-truth, service-syntax-and-unit, remote-builder, live-apply-and-promotion
  blocking checks: workstream-surfaces, agent-standards, documentation-index, yaml-lint, schema-validation, policy-validation, alert-rule-validation, dependency-direction, generated-docs, generated-portals, dependency-graph, artifact-secret-scan, ansible-syntax, ansible-lint, iac-policy-scan, type-check, service-completeness, packer-validate, tofu-validate, security-scan, semgrep-sast, integration-tests
  changed files: README.md, RELEASE.md, VERSION, build/platform-manifest.json, changelog.md, config/windmill/apps/f/lv3/operator_access_admin.raw_app/App.tsx, ...

CHECK                STATUS DURATION(s)
agent-standards       passed 1.33
alert-rule-validation passed 3.12
ansible-lint          passed 230.65
ansible-syntax        passed 142.38
artifact-secret-scan  passed 4.31
dependency-direction  passed 2.04
dependency-graph      passed 2.83
documentation-index   passed 1.85
generated-docs        passed 8.27
generated-portals     passed 36.30
iac-policy-scan       passed 41.46
integration-tests     passed 1.23
packer-validate       passed 6.26
policy-validation     passed 2.43
schema-validation     passed 17.02
security-scan         passed 38.02
semgrep-sast          passed 62.60
service-completeness  passed 1.91
tofu-validate         passed 1.39
type-check            passed 4.27
workstream-surfaces   passed 4.05
yaml-lint             passed 18.67
