/Users/live/Documents/GITHUB_PROJECTS/proxmox_florin_server/.worktrees/ws-0289-label-studio-live-apply-r1/scripts/remote_exec.sh pre-push-gate --local-fallback
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Validation lane selection
  mode: primary_branch
  branch: HEAD
  selected lanes: documentation-and-adr, repository-structure-and-schema, generated-artifact-and-canonical-truth, service-syntax-and-unit, remote-builder, live-apply-and-promotion
  blocking checks: workstream-surfaces, agent-standards, documentation-index, yaml-lint, schema-validation, atlas-lint, policy-validation, alert-rule-validation, dependency-direction, generated-docs, generated-portals, dependency-graph, artifact-secret-scan, ansible-syntax, ansible-lint, iac-policy-scan, type-check, service-completeness, packer-validate, tofu-validate, security-scan, semgrep-sast, integration-tests
  changed files: Makefile, README.md, RELEASE.md, VERSION, build/platform-manifest.json, changelog.md, ...

CHECK                STATUS DURATION(s)
agent-standards       passed 4.69
alert-rule-validation passed 3.93
ansible-lint          passed 262.11
ansible-syntax        passed 172.58
artifact-secret-scan  passed 6.55
atlas-lint            passed 3.56
dependency-direction  passed 4.41
dependency-graph      passed 5.28
documentation-index   passed 2.81
generated-docs        passed 8.99
generated-portals     passed 36.93
iac-policy-scan       passed 39.43
integration-tests     passed 2.22
packer-validate       passed 8.15
policy-validation     passed 2.00
schema-validation     passed 18.99
security-scan         passed 44.99
semgrep-sast          passed 64.25
service-completeness  passed 2.24
tofu-validate         passed 1.60
type-check            passed 8.62
workstream-surfaces   passed 4.77
yaml-lint             passed 21.21
