/Users/live/Documents/GITHUB_PROJECTS/platform_server/.worktrees/ws-0324-live-apply/scripts/remote_exec.sh remote-validate --local-fallback
Validation lane selection
  mode: explicit_checks
  branch: HEAD
  selected lanes: repository-structure-and-schema, generated-artifact-and-canonical-truth, service-syntax-and-unit, remote-builder
  blocking checks: workstream-surfaces, agent-standards, ansible-syntax, schema-validation, atlas-lint, policy-validation, iac-policy-scan, alert-rule-validation, type-check, dependency-graph

CHECK                STATUS DURATION(s)
agent-standards       passed 3.20
alert-rule-validation passed 2.19
ansible-syntax        passed 164.47
atlas-lint            passed 2.86
dependency-graph      passed 3.25
iac-policy-scan       passed 34.82
policy-validation     passed 1.70
schema-validation     passed 14.59
type-check            passed 7.05
workstream-surfaces   passed 2.99
