/Users/live/Documents/GITHUB_PROJECTS/platform_server/.worktrees/ws-0327-live-apply/scripts/remote_exec.sh pre-push-gate --local-fallback
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Validation lane selection
  mode: primary_branch
  branch: HEAD
  selected lanes: documentation-and-adr, repository-structure-and-schema, generated-artifact-and-canonical-truth, service-syntax-and-unit, remote-builder, live-apply-and-promotion
  blocking checks: workstream-surfaces, agent-standards, documentation-index, yaml-lint, schema-validation, atlas-lint, policy-validation, alert-rule-validation, dependency-direction, generated-docs, generated-portals, dependency-graph, artifact-secret-scan, ansible-syntax, ansible-lint, iac-policy-scan, type-check, service-completeness, packer-validate, tofu-validate, security-scan, semgrep-sast, integration-tests
  changed files: .config-locations.yaml, .gitignore, .repo-structure.yaml, README.md, build/onboarding/agent-core.yaml, build/onboarding/automation.yaml, ...

CHECK                STATUS DURATION(s)
agent-standards       passed 4.17
alert-rule-validation passed 2.50
ansible-lint          passed 282.76
ansible-syntax        passed 187.51
artifact-secret-scan  passed 6.72
atlas-lint            passed 3.85
dependency-direction  passed 3.22
dependency-graph      passed 5.26
documentation-index   passed 2.81
generated-docs        passed 9.22
generated-portals     passed 33.41
iac-policy-scan       passed 41.60
integration-tests     passed 1.99
packer-validate       passed 6.98
policy-validation     passed 3.64
schema-validation     passed 18.63
security-scan         passed 44.01
semgrep-sast          passed 67.11
service-completeness  passed 2.08
tofu-validate         passed 1.55
type-check            passed 8.28
workstream-surfaces   passed 3.53
yaml-lint             passed 3.40
