/Users/live/Documents/GITHUB_PROJECTS/proxmox_florin_server/.worktrees/ws-0328-live-apply/scripts/remote_exec.sh pre-push-gate --local-fallback
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Validation lane selection
  mode: primary_branch
  branch: HEAD
  selected lanes: documentation-and-adr, repository-structure-and-schema, generated-artifact-and-canonical-truth, service-syntax-and-unit, remote-builder, live-apply-and-promotion
  blocking checks: workstream-surfaces, agent-standards, documentation-index, yaml-lint, schema-validation, atlas-lint, policy-validation, alert-rule-validation, dependency-direction, generated-docs, generated-portals, dependency-graph, artifact-secret-scan, ansible-syntax, ansible-lint, iac-policy-scan, type-check, service-completeness, packer-validate, tofu-validate, security-scan, semgrep-sast, integration-tests
  changed files: .config-locations.yaml, .repo-structure.yaml, Makefile, README.md, build/platform-manifest.json, changelog.md, ...

CHECK                STATUS DURATION(s)
agent-standards       passed 3.67
alert-rule-validation passed 2.13
ansible-lint          passed 286.39
ansible-syntax        passed 184.73
artifact-secret-scan  passed 8.91
atlas-lint            passed 5.66
dependency-direction  passed 3.20
dependency-graph      passed 3.51
documentation-index   passed 2.47
generated-docs        passed 13.72
generated-portals     passed 39.58
iac-policy-scan       passed 49.68
integration-tests     passed 3.42
packer-validate       passed 6.49
policy-validation     passed 1.53
schema-validation     passed 18.41
security-scan         passed 55.85
semgrep-sast          passed 72.84
service-completeness  passed 4.58
tofu-validate         passed 1.50
type-check            passed 10.94
workstream-surfaces   passed 3.73
yaml-lint             passed 1.89
