/Users/live/Documents/GITHUB_PROJECTS/proxmox_florin_server/.worktrees/ws-0330-main-closeout/scripts/remote_exec.sh pre-push-gate --local-fallback
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Validation lane selection
  mode: primary_branch
  branch: HEAD
  selected lanes: documentation-and-adr, repository-structure-and-schema, generated-artifact-and-canonical-truth, service-syntax-and-unit, remote-builder, live-apply-and-promotion
  blocking checks: workstream-surfaces, agent-standards, documentation-index, yaml-lint, schema-validation, atlas-lint, policy-validation, alert-rule-validation, dependency-direction, generated-docs, generated-portals, dependency-graph, artifact-secret-scan, ansible-syntax, ansible-lint, iac-policy-scan, type-check, service-completeness, packer-validate, tofu-validate, security-scan, semgrep-sast, integration-tests
  changed files: .config-locations.yaml, .repo-structure.yaml, README.md, build/onboarding/agent-core.yaml, build/onboarding/automation.yaml, build/onboarding/service-catalog.yaml, ...

CHECK                STATUS DURATION(s)
agent-standards       passed 6.07
alert-rule-validation passed 4.92
ansible-lint          passed 406.92
ansible-syntax        passed 269.66
artifact-secret-scan  passed 9.47
atlas-lint            passed 7.02
dependency-direction  passed 5.18
dependency-graph      passed 5.68
documentation-index   passed 2.58
generated-docs        passed 15.51
generated-portals     passed 61.96
iac-policy-scan       passed 91.89
integration-tests     passed 2.20
packer-validate       passed 9.63
policy-validation     passed 1.93
schema-validation     passed 24.26
security-scan         passed 130.69
semgrep-sast          passed 121.22
service-completeness  passed 2.23
tofu-validate         passed 2.32
type-check            passed 13.80
workstream-surfaces   passed 4.74
yaml-lint             passed 1.22
