/Users/live/Documents/GITHUB_PROJECTS/proxmox_florin_server/.worktrees/ws-0330-main-closeout/scripts/remote_exec.sh pre-push-gate --local-fallback
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Warning: Permanently added '10.10.10.30' (ED25519) to the list of known hosts.
Validation lane selection
  mode: primary_branch
  branch: HEAD
  selected lanes: documentation-and-adr, repository-structure-and-schema, generated-artifact-and-canonical-truth, service-syntax-and-unit, remote-builder, live-apply-and-promotion
  blocking checks: workstream-surfaces, agent-standards, documentation-index, yaml-lint, schema-validation, atlas-lint, policy-validation, alert-rule-validation, dependency-direction, generated-docs, generated-portals, dependency-graph, artifact-secret-scan, ansible-syntax, ansible-lint, iac-policy-scan, type-check, service-completeness, packer-validate, tofu-validate, security-scan, semgrep-sast, integration-tests
  changed files: .config-locations.yaml, .repo-structure.yaml, README.md, build/onboarding/agent-core.yaml, build/onboarding/automation.yaml, build/onboarding/service-catalog.yaml, ...

CHECK                STATUS DURATION(s)
agent-standards       passed 4.02
alert-rule-validation passed 2.66
ansible-lint          passed 327.37
ansible-syntax        passed 219.01
artifact-secret-scan  passed 5.44
atlas-lint            passed 4.00
dependency-direction  passed 3.43
dependency-graph      passed 4.34
documentation-index   passed 2.67
generated-docs        passed 11.75
generated-portals     passed 36.67
iac-policy-scan       passed 46.40
integration-tests     passed 1.55
packer-validate       passed 6.10
policy-validation     passed 3.24
schema-validation     passed 19.07
security-scan         passed 47.96
semgrep-sast          passed 71.05
service-completeness  passed 2.65
tofu-validate         passed 1.35
type-check            passed 11.13
workstream-surfaces   passed 3.54
yaml-lint             passed 1.20
